Chart Number,Bird Species,Admission Date,When Captured,Age,Sex,Address - Captured,City - Captured,Injury Cause,Status
2016-01485,American Robin,30.04.2016,4/19/16 8:50 AM,A,UNK,"6335 N. Avor Street, no side",Chicago,Unknown,Died before exam
2016-01506,Purple Martin,30.04.2016,4/30/16,A,F,Montrose,Chicago,Unknown,Died after 24 hrs
2016-01507,Mallard,30.04.2016,4/29/16 5:30 PM,F,UNK,3647 N Halstead,Chicago,Fell from nest,Released
2016-01508,Mallard,30.04.2016,4/29/16 5:30 PM,F,F,3647 N Halstead,Chicago,Fell from nest,Released
2016-01509,Mallard,30.04.2016,4/29/16 5:30 PM,F,UNK,3647 N Halstead,Chicago,Fell from nest,Released
2016-01510,Mallard,30.04.2016,4/29/16 5:30 PM,F,UNK,3647 N Halstead,Chicago,Fell from nest,Released
2016-01511,Mallard,30.04.2016,4/29/16 5:30 PM,F,UNK,3647 N Halstead,Chicago,Fell from nest,Released
2016-01512,Mallard,30.04.2016,4/29/16 5:30 PM,F,UNK,3647 N Halstead,Chicago,Fell from nest,Released
2016-01513,Mallard,30.04.2016,4/29/16 5:30 PM,F,UNK,3647 N Halstead,Chicago,Fell from nest,Released
2016-01514,Mallard,30.04.2016,4/29/16 5:30 PM,F,UNK,3647 N Halstead,Chicago,Fell from nest,Released
2016-01515,Mallard,30.04.2016,4/29/16 5:30 PM,F,UNK,3647 N Halstead,Chicago,Fell from nest,Released
2016-01516,Mallard,30.04.2016,4/29/16 5:30 PM,F,UNK,3647 N Halstead,Chicago,Fell from nest,Released
2016-01517,Canada Goose,30.04.2016,4/29/16 4 PM,F,UNK,201 N Westshore By Lake - East,Chicago,Orphaned,Fostered
2016-01518,Ovenbird,30.04.2016,4/30/16 7:20 AM,A,UNK,"1 S. FRanklin Street, west side",Chicago,Collision - building,Released
2016-01519,Hermit Thrush,30.04.2016,4/30/16 6:15 AM,A,UNK,"1 S. Franklin Street, west side",Chicago,Collision - building,Released
2016-01523, White-throated Sparrow,30.04.2016,4/30/16 7 AM,A,UNK,"300 S. Wacker, east side",Chicago,Collision - building,Released
2016-01524, White-throated Sparrow,30.04.2016,4/30/16 6:50 AM,A,UNK,"311 S. Wacker, north side",Chicago,Collision - building,Released
2016-01525,Virginia Rail,30.04.2016,4/30/16 6:51 AM,A,UNK,"200 S. Wacker, north side",Chicago,Collision - building,Released
2016-01526,Hermit Thrush,30.04.2016,4/30/16 8 AM,A,UNK,"Aon, east side",Chicago,Collision - building,Released
2016-01527, White-throated Sparrow,30.04.2016,4/30/16,A,UNK,(Michigan Plaza) 111 S Wacker - S,Chicago,Collision - building,Released
2016-01533,Purple Martin,01.05.2016,5/1/16 7:30 AM,A,F,Montrose Harbor,Chicago,Unknown,Released
2016-01541,Ovenbird,01.05.2016,5/1/16 6 AM,A,UNK,Post Office (E sd),Chicago,Collision - building,Released
2016-01542,Black-and-White Warbler,01.05.2016,5/1/16 7:20 AM,A,M,1S. Wacker (W sd),Chicago,Collision - building,Died before exam
2016-01543,Winter Wren,01.05.2016,5/1/16 6:10 AM,A,UNK,311S. Wacker (NE corner),Chicago,Collision - building,Died after 24 hrs
2016-01586,Mallard,02.05.2016,5/2/16 2 PM,F,UNK,(Armstrong Park) 391 Illini Drive,Carol Stream,Orphaned,Released
2016-01587,Rose-breasted Grosbeak,02.05.2016,5/2/16 7:30 AM,A,M,"Dirksen Building, west side",Chicago,Collision - building,Released
2016-01588,Slate-colored Junco,02.05.2016,5/2/16 7:30 AM,A,F,"340 E Randolph, south side",Chicago,Collision - building,Released
2016-01591,American Robin,02.05.2016,5/2/16 7 AM,A,UNK,Daley Center (E sd),Chicago,Collision - building,Released
2016-01592, White-throated Sparrow,02.05.2016,5/2/16 6:45 AM,A,UNK,Citicorp (S sd),Chicago,Collision - building,Released
2016-01602,Canada Goose,03.05.2016,5/2/16,F,UNK,"near Irving Park Rd, along Desplaines River TR",Chicago,Fell from nest,Released
2016-01603,Canada Goose,03.05.2016,5/2/16 1 PM,F,UNK,4559 Hamlin,Chicago,Fell from nest,Released
2016-01615,American Robin,03.05.2016,5/3/16 10 AM,A,F,1212 W. Superior,Chicago,Collision - building,Released
2016-01632,Canada Goose,03.05.2016,5/3/16 1 PM,A,UNK,706 N. Victoria Dr,Palatine,Unknown,Euthanized within 24 hour of admit
2016-01633,Mallard,03.05.2016,5/3/16 1 PM,F,UNK,820 Panarama,Palatine,Orphaned,Released
2016-01638,Great Horned Owl,03.05.2016,5/3/16 3:45 PM,A,UNK,15900 S. Cicero,Oak Forest,Unknown,Euthanized after 24 hours
2016-01641,Mallard,04.05.2016,5/3/16 7 PM,F,UNK,Butterfield,Wheaton,Orphaned,Released
2016-01667,American Crow,04.05.2016,5/3/16 8:30 PM,A,UNK,400 Mitchell,Elmhurst,Unknown,Euthanized after 24 hours
2016-01668,Ovenbird,04.05.2016,5/4/16 8:15 AM,A,UNK,Deloitte (NW corner),Chicago,Collision - building,Released
2016-01669,Ovenbird,04.05.2016,5/4/16 6:54 AM,A,UNK,Prudential 2 (N behind columns),Chicago,Collision - building,Died after 24 hrs
2016-01670,Ovenbird,04.05.2016,5/4/16 7:5 AM,A,UNK,Willis (E sd),Chicago,Collision - building,Died after 24 hrs
2016-01671,Lincoln's Sparrow,04.05.2016,5/4/16 6:45 AM,A,UNK,233 N. Mahgan (S sd),Chicago,Collision - building,Released
2016-01672,Nashville Warbler,04.05.2016,5/4/16 5:30 AM,A,M,UBS Tower (SE corner),Chicago,Collision - building,Died after 24 hrs
2016-01673, White-throated Sparrow,04.05.2016,5/4/16 7:20 AM,A,UNK,175 N. Harbor Point (N sd),Chicago,Collision - building,Released
2016-01682,Canada Goose,04.05.2016,5/3/16,F,UNK,(Wholefoods Parking Lot) Peterson and Cicero,Chicago,Fell from nest,Released
2016-01683,Canada Goose,04.05.2016,5/4/16,F,UNK,(in street) Elson and Mason,Chicago,Fell from nest,Fostered
2016-01684,Canada Goose,04.05.2016,5/4/16,UNK,UNK,(Secretary of State parking lot) 5401 N Elston,Chicago,Fell from nest,Fostered
2016-01685,Canada Goose,04.05.2016,5/3/16,F,UNK,(Whole Foods parking lot) Peterson and Cicero,Chicago,Fell from nest,Fostered
2016-01686,Ovenbird,04.05.2016,5/4/16 6:15 AM,A,UNK,IBM Bldg - W,Chicago,Collision - building,Released
2016-01687,Ovenbird,04.05.2016,5/4/16 6:15 AM,A,UNK,Hyatt E Tower - E Side,Chicago,Collision - building,Released
2016-01688, White-throated Sparrow,04.05.2016,5/4/16,A,UNK,AON - N,Chicago,Collision - building,Released
2016-01689,Ovenbird,04.05.2016,5/4/16,A,UNK,303 E Wacker - N,Chicago,Collision - building,Released
2016-01690, White-throated Sparrow,04.05.2016,5/4/16 8 AM,A,UNK,233 Michigan Plaza - W,Chicago,Collision - building,Released
2016-01691,Ovenbird,04.05.2016,5/4/16,A,UNK,,Chicago,Collision - building,Released
2016-01692,Ovenbird,04.05.2016,5/4/16,A,UNK,30 N LaSalle _NE,Chicago,Collision - building,Released
2016-01693, White-throated Sparrow,04.05.2016,5/4/16 6:50 AM,A,UNK,AON - N,Chicago,Collision - building,Released
2016-01694, White-throated Sparrow,04.05.2016,5/4/16,A,UNK,AON-N,Chicago,Collision - building,Released
2016-01695,Ovenbird,04.05.2016,5/4/16,A,UNK,230 W Monroe - E,Chicago,Collision - building,Released
2016-01696, White-throated Sparrow,04.05.2016,5/4/16 8 AM,A,UNK,"77 W. Jackson, NW corner",Chicago,Collision - building,Released
2016-01697,Swamp Sparrow,04.05.2016,5/4/16 7:05 AM,A,UNK,"233 Michigan PLaza, north side",Chicago,Collision - building,Released
2016-01698,Palm Warbler,04.05.2016,5/4/16 7:40 AM,UNK,UNK,Aracde Alley,Chicago,Collision - building,Released
2016-01699, White-throated Sparrow,04.05.2016,5/4/16 7:15 AM,A,UNK,"70 W. Washington, north side",Chicago,Collision - building,Released
2016-01708,Ring-billed Gull,04.05.2016,5/4/16 2 PM,A,UNK,543 N. Waller,Chicago,Unknown,Euthanized within 24 hour of admit
2016-01715,American Woodcock,05.05.2016,5/4/16 12:15 PM,A,UNK,"Harold Washington School, north",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-01717,Northern Cardinal,05.05.2016,5/4/16 5 PM,A,F,"838 N. State, east side",Chicago,Collision - building,Released
2016-01719,Ring-billed Gull,05.05.2016,5/5/16 10:30 AM,A,UNK,2003 W. Carroll,Chicago,Unknown,Euthanized within 24 hour of admit
2016-01721,American Robin,05.05.2016,5/5/16 6:40 AM,A,M,"150 S. Wacker, north side",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-01724,Lincoln's Sparrow,05.05.2016,5/4/16 10 AM,A,UNK,"800 S. Wells, east side",Chicago,Collision - building,Released
2016-01725,Hermit Thrush,05.05.2016,5/5/16,A,UNK,"Aon, lower east side",Chicago,Collision - building,Released
2016-01755,Ring-billed Gull,06.05.2016,5/5/16 1 PM,A,UNK,3048 E. 130th Street,Chicago,Unknown,Euthanized within 24 hour of admit
2016-01764,Northern Cardinal,06.05.2016,5/5/16 7 PM,N,UNK,4121 N. Cornelia,Chicago,Animal attack - cat,Died before exam
2016-01765,Red-breasted Nuthatch,06.05.2016,5/5/16 8 PM,A,M,"4250 N. Marine, no side",Chicago,Collision - building,Died within 24 hours
2016-01771,House Wren,06.05.2016,5/6/16 6:55 AM,A,UNK,"300 S. Riverside, west side",Chicago,Collision - building,Died after 24 hrs
2016-01772,Yellow Warbler,06.05.2016,5/6/16 6:45 AM,A,M,"120 S. Raber, east side",Chicago,Collision - building,Released
2016-01773,Golden-winged Warbler,06.05.2016,5/6/16 9 AM,A,M,"300 N. LaSalle, east side",Chicago,Collision - building,Released
2016-01774,Ovenbird,06.05.2016,5/6/16 5:33 AM,A,UNK,"150 S. Wacker, south side",Chicago,Collision - building,Released
2016-01775,Ovenbird,06.05.2016,5/6/16 7:10 AM,A,UNK,"Westin River North, north side",Chicago,Collision - building,Released
2016-01776,Hermit Thrush,06.05.2016,5/6/16,A,UNK,,Chicago,Collision - building,Released
2016-01777,Hermit Thrush,06.05.2016,5/6/16 6:20 AM,A,UNK,"10 S. Riverside, NE corner",Chicago,Collision - building,Released
2016-01778, White-throated Sparrow,06.05.2016,5/6/16 5:52 AM,A,UNK,"Willis Tower, north side",Chicago,Collision - building,Released
2016-01786, White-throated Sparrow,06.05.2016,5/6/16 7 AM,A,UNK,"601 W. Randolph, north side",Chicago,Collision - building,Released
2016-01787,Virginia Rail,06.05.2016,5/6/16 10:45 AM,A,UNK,"370 S. Financial, no side",Chicago,Collision - building,Released
2016-01808,Canada Goose,07.05.2016,5/7/16,F,UNK,212 24th street,Bellwood,Orphaned,Died after 24 hrs
2016-01877, White-throated Sparrow,07.05.2016,5/7/16 9:15 AM,A,UNK,300 S Riverside,Chicago,Collision - building,Died after 24 hrs
2016-01878, White-throated Sparrow,07.05.2016,5/7/16 8:50 AM,A,UNK,10 S Riverside - E,Chicago,Collision - building,Released
2016-01879, White-throated Sparrow,07.05.2016,5/7/16 6 AM,A,UNK,400 E Randolph - SS,Chicago,Collision - building,Released
2016-01880,Ovenbird,07.05.2016,5/7/16 5:25 AM,A,UNK,233 Michigan Plaza - W,Chicago,Collision - building,Released
2016-01881, White-throated Sparrow,07.05.2016,5/7/16 6 AM,A,UNK,Prud II- W,Chicago,Collision - building,Released
2016-01883,Sora,07.05.2016,5/7/16 6 AM,A,UNK,300 S Riverside - W side,Chicago,Collision - building,Released
2016-01884,Wood Thrush,07.05.2016,5/7/16 5:30 AM,A,UNK,525  W Monroe - North,Chicago,Collision - building,Released
2016-01885,Nashville Warbler,07.05.2016,5/7/16 6:03 AM,A,UNK,Dirksen - E,Chicago,Collision - building,Died after 24 hrs
2016-01886,Hermit Thrush,07.05.2016,5/7/16 6:15 AM,A,UNK,Willis - Skydeck North,Chicago,Collision - building,Released
2016-01887,Ovenbird,07.05.2016,5/7/16 10:35 AM,A,UNK,200 w Madison - Inside,Chicago,Collision - building,Died within 24 hours
2016-01888,Ovenbird,07.05.2016,5/7/16 6:10 AM,A,UNK,525 W Monroe - E side,Chicago,Collision - building,Released
2016-01889,Sora,07.05.2016,5/7/16 12:30 PM,A,UNK,State & Chicago,Chicago,Collision - building,Released
2016-01890,Northern Waterthrush,07.05.2016,5/7/16 12:45 PM,A,UNK,312 N May,Chicago,Collision - building,Died after 24 hrs
2016-01891,Northern Cardinal,07.05.2016,5/7/16 11 AM,A,M,2417 N California,Chicago,Collision - building,Euthanized after 24 hours
2016-01892,Sora,07.05.2016,5/7/16 11:15 AM,A,UNK,819 S. Laflin,Chicago,Collision - building,Died before exam
2016-01899,Ovenbird,07.05.2016,5/7/16 5:30 AM,A,UNK,"Options Exchange, W Side",Chicago,Collision - building,Released
2016-01900,Ovenbird,07.05.2016,5/7/16 6:17 AM,A,UNK,"55 W Monroe, E Side",Chicago,Collision - building,Released
2016-01901,Ovenbird,07.05.2016,5/7/16 6:05 AM,A,UNK,"111 E Wacker, W Side",Chicago,Collision - building,Released
2016-01902,Ovenbird,07.05.2016,5/7/16 6:45 AM,A,UNK,"30 S Wacker, W Side",Chicago,Collision - building,Released
2016-01903,Swamp Sparrow,07.05.2016,5/7/16 5:30 AM,A,UNK,"225 Michigan Plaza, E Side",Chicago,Collision - building,Released
2016-01904,Ovenbird,07.05.2016,5/7/16 6 AM,A,UNK,"233 N Michigan Ave, N Side",Chicago,Collision - building,Released
2016-01905,Ovenbird,07.05.2016,5/7/16 5:40 AM,A,UNK,"230 W Monroe, W Side",Chicago,Collision - building,Released
2016-01906,Ovenbird,07.05.2016,5/7/16 7 AM,A,UNK,"100 S Wacker, E Side",Chicago,Collision - building,Released
2016-01907,Ovenbird,07.05.2016,5/7/16 6:35 AM,A,UNK,"30 S Wacker, W Side",Chicago,Collision - building,Released
2016-01908,Swamp Sparrow,07.05.2016,5/7/16 5:55 AM,A,UNK,"333 E Benton, N Side",Chicago,Collision - building,Released
2016-01909,Ovenbird,07.05.2016,5/7/16 5:30 AM,A,UNK,"Lakeside Bank, west side",Chicago,Collision - building,Released
2016-01910,Swamp Sparrow,07.05.2016,5/7/16 7:40 AM,A,UNK,"233 Michigan Plaza, west side",Chicago,Collision - building,Released
2016-01911,Ovenbird,07.05.2016,5/7/16 5:15 AM,A,UNK,"Prudential Plaza, east side",Chicago,Collision - building,Released
2016-01912,Ovenbird,07.05.2016,5/7/15 7:15 AM,A,UNK,"1 S. Wacker, west side",Chicago,Collision - building,Released
2016-01913,Ovenbird,07.05.2016,5/7/15 7:15 AM,A,UNK,"321 N. Clark, west side",Chicago,Collision - building,Released
2016-01929,Common Yellowthroat,07.05.2016,5/7/16,A,M,311 S Wacker,Chicago,Collision - building,Released
2016-01930, White-throated Sparrow,07.05.2016,5/7/16 6:15 AM,A,UNK,500 W Monroe - E,Chicago,Collision - building,Released
2016-01931,Blue Jay,07.05.2016,5/7/16 8:45 AM,A,UNK,,Chicago,Collision - building,Released
2016-01932,Magnolia Warbler,07.05.2016,"5/7/16, 5 AM",A,UNK,PRU II - W,Chicago,Collision - building,Released
2016-01933, White-throated Sparrow,07.05.2016,5/7/16  9:15 AM,A,UNK,300 S Riverside - W,Chicago,Collision - building,Released
2016-01934,Blackpoll Warbler,07.05.2016,5/7/16  6:35 AM,A,UNK,233 Michigan Plaza - S,Chicago,Collision - building,Released
2016-01935,Northern Waterthrush,07.05.2016,5/7/16 6:30 AM,A,UNK,(Aeon) Lower Level Randolph,Chicago,Collision - building,Released
2016-01936,Black-throated Green Warbler,07.05.2016,5/7/16 7:45 AM,A,M,233 N. Michigan (N sd),Chicago,Collision - building,Released
2016-01937,Scarlet Tanager,08.05.2016,5/7/16 6:51 AM,A,M,303 E. Wacker (N sd),Chicago,Collision - building,Released
2016-01938,Baltimore Oriole,08.05.2016,5/7/16 5:30 AM,A,M,,Chicago,Collision - building,Released
2016-01939,House Wren,08.05.2016,5/7/16,A,UNK,,Chicago,Collision - building,Died after 24 hrs
2016-01940, White-throated Sparrow,07.05.2016,5/7/16 5:20 AM,A,UNK,400 N Michigan - W,Chicago,Collision - building,Released
2016-01941, White-throated Sparrow,07.05.2016,5/7/16 5:30 AM,A,UNK,300 Riverside W Side,Chicago,Collision - building,Released
2016-01942, White-throated Sparrow,07.05.2016,5/7/16 9:25 AM,A,UNK,Aeon Ctr - N Side,Chicago,Collision - building,Released
2016-01943,Black-and-White Warbler,07.05.2016,5/7/16 7:08 AM,A,UNK,233 Michigan Plaza - E side,Chicago,Collision - building,Released
2016-01944,Virginia Rail,07.05.2016,5/7/16 6:15 AM,A,UNK,55 W Monroe - N,Chicago,Collision - building,Released
2016-01945, White-throated Sparrow,07.05.2016,5/7/16 5:55 AM,A,F,233 N Michigan - N,Chicago,Collision - building,Released
2016-01946,Scarlet Tanager,08.05.2016,5/7/16 6:10 AM,A,F,111 E Wacker - E,Chicago,Collision - building,Released
2016-01947,Northern Waterthrush,07.05.2016,5/7/16 7:41 AM,A,UNK,233 N Michigan,Chicago,Collision - building,Released
2016-01948,Common Yellowthroat,07.05.2016,5/7/16 5:15 AM,A,M,800 S Wells - E,Chicago,Collision - building,Released
2016-01949, White-throated Sparrow,07.05.2016,5/7/16 6:10 AM,A,UNK,Pur II - W,Chicago,Collision - building,Released
2016-01950,House Wren,07.05.2016,5/7/16,A,UNK,,Chicago,Collision - building,Released
2016-01951, White-throated Sparrow,07.05.2016,5/7/16 6:15 AM,A,UNK,500 W Monroe - S side,Chicago,Collision - building,Released
2016-01952,White-crowned Sparrow,07.05.2016,5/7/16 6:20 AM,A,UNK,Prudential Plaza - W,Chicago,Collision - building,Released
2016-01953,Northern Waterthrush,08.05.2016,5/7/16 7:50 AM,A,UNK,AIN (S sd),Chicago,Collision - building,Released
2016-01954,Virginia Rail,08.05.2016,5/7/16,A,UNK,55 W. Wacker (S sd),Chicago,Collision - building,Released
2016-01955,White-throated Sparrow,08.05.2016,5/7/16,A,UNK,,Chicago,Collision - building,Released
2016-01956,White-throated Sparrow,08.05.2016,5/7/16 5:44 AM,A,UNK,360 E. Randolph,Chicago,Collision - building,Released
2016-01957,Northern Waterthrush,08.05.2016,5/7/16 5:50 AM,A,UNK,Athletic Bulding (S sd),Chicago,Collision - building,Released
2016-01958,White-throated Sparrow,08.05.2016,5/7/16 5:25 AM,A,UNK,233 Michigan (W sd),Chicago,Collision - building,Released
2016-01959,White-throated Sparrow,08.05.2016,5/7/16 5:30 AM,A,UNK,AON glass staircase (SE corner),Chicago,Collision - building,Released
2016-01960,White-throated Sparrow,08.05.2016,5/7/16 5:40 AM,A,UNK,311 S. Wacker ( S sd),Chicago,Collision - building,Released
2016-01961,Common Yellowthroat,08.05.2016,5/7/16 6:05 AM,A,M,311 S. Wacker (S sd),Chicago,Collision - building,Released
2016-01962,Palm Warbler,08.05.2016,5/7/16 5 AM,A,UNK,PPR 2 (W sd),Chicago,Collision - building,Released
2016-01963,Black-and-White Warbler,08.05.2016,5/7/16 5:55 AM,A,M,Mich Plaza,Chicago,Collision - building,Released
2016-01964,White-crowned Sparrow,08.05.2016,5/7/16 6:14 AM,A,UNK,303 E. Wacker (E sd),Chicago,Collision - building,Released
2016-01965,Virginia Rail,08.05.2016,5/7/16 8:10 AM,A,UNK,Thompson Center (W sd),Chicago,Collision - building,Released
2016-01987,Mallard,08.05.2016,5/8/16,F,UNK,4133 N Keystone,Chicago,Orphaned,Released
2016-01988,Ovenbird,08.05.2016,5/8/16 12 PM,A,UNK,AON,Chicago,Collision - building,Died within 24 hours
2016-01989,Rose-breasted Grosbeak,08.05.2016,5/7/16 6:45PM,A,UNK,3106 Normandy Place,Evanston,Collision - building,Released
2016-01990,Sora,08.05.2016,5/8/16 5:15 AM,A,UNK,233 N Michigan - N,Chicago,Collision - building,Released
2016-01991, White-throated Sparrow,08.05.2016,5/8/16,A,UNK,,Chicago,Collision - building,Died before exam
2016-01992,American Woodcock,08.05.2016,5/8/16 11:30 AM,A,UNK,2653 N. Avers,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-01993,Mouring Dove,08.05.2016,5/8/16,N,UNK,2121 7th Ave.,maywood,Fell from nest,Released
2016-01994,Mouring Dove,08.05.2016,5/8/16,N,UNK,2121 7th Ave.,maywood,Fell from nest,Released
2016-01996,Whip-poor-will,08.05.2016,5/8/16 6:30 AM,A,UNK,200 N. LaSalle (S sd),Chicago,Collision - building,Released
2016-01997,Song Sparrow,08.05.2016,5/7/16,A,UNK,200 W. Monroe,Chicago,Collision - building,Died after 24 hrs
2016-01998,Blue-winged Warbler,08.05.2016,5/8/16 8:35 AM,A,UNK,323 E. Wacker (N sd),Chicago,Collision - building,Died after 24 hrs
2016-01999, White-throated Sparrow,08.05.2016,5/8/16 5:45 AM,A,UNK,540 W. Madison (E sd),Chicago,Collision - building,Died after 24 hrs
2016-02000,Ovenbird,08.05.2016,5/8/16,A,UNK,1 S. Franklin (N sd),Chicago,Collision - building,Died after 24 hrs
2016-02003, White-throated Sparrow,08.05.2016,5/8/16 5:54 AM,A,UNK,swissotel- N,Chicago,Collision - building,Released
2016-02004,Herring Gull,08.05.2016,5/8/16 11:45 AM,A,UNK,Hooker and Halsted,Chicago,Unknown,Euthanized within 24 hour of admit
2016-02007,Chestnut-sided Warbler,07.05.2016,5/7/16 6:12 AM,A,UNK,350 Orleans  River - River Nort,Chicago,Collision - building,Released
2016-02008,White-crowned Sparrow,07.05.2016,5/7/16 7:40 AM,A,UNK,Harvord Washington Library,Chicago,Collision - building,Released
2016-02011,Black-and-White Warbler,08.05.2016,5/7/16 8:35 AM,A,M,"233 N Michigan Plaza, S Side",Chicago,Collision - building,Released
2016-02012, White-throated Sparrow,08.05.2016,5/8/16 5:21 AM,A,UNK,"111 E Wacker, E Side",Chicago,Collision - building,Released
2016-02013,Swamp Sparrow,08.05.2016,5/8/16 5:45 AM,A,UNK,"155 N Wacker, E Side",Chicago,Collision - building,Released
2016-02014,Winter Wren,08.05.2016,5/8/16 5:35 AM,A,UNK,"500 W Madison, S Side",Chicago,Collision - building,Released
2016-02015, White-throated Sparrow,08.05.2016,5/8/16 6:37 AM,A,UNK,AON lower plaza,Chicago,Collision - building,Released
2016-02016,Orchard Oriole,08.05.2016,5/8/16 7:25 AM,A,M,"Nuveen, N Side",Chicago,Collision - building,Released
2016-02017,Virginia Rail,08.05.2016,5/8/16 4:42 AM,A,UNK,875 N Michigan,Chicago,Collision - building,Released
2016-02018,Ovenbird,08.05.2016,5/8/16 9:20 AM,A,UNK,"Swissotel, W side",Chicago,Collision - building,Released
2016-02036, White-throated Sparrow,09.05.2016,5/9/16 7:10 AM,A,UNK,"120 S Riverside Pl, E Side",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-02037,Ovenbird,09.05.2016,5/9/16 9:10 AM,A,UNK,"300 S Riverside, W Side",Chicago,Collision - building,Died within 24 hours
2016-02039,Virginia Rail,09.05.2016,5/9/16 7:30 AM,A,UNK,west of 200 N Michigan,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-02041,Ovenbird,09.05.2016,5/9/16 6:50 AM,A,UNK,"200 W Madison, S Side",Chicago,Collision - building,Released
2016-02042,White-crowned Sparrow,09.05.2016,5/9/16 5:10 AM,A,UNK,"71 S Wacker, S Side",Chicago,Collision - building,Released
2016-02043,Ovenbird,09.05.2016,5/9/16  5:25 AM,A,UNK,"Hyatt Center, S Side",Chicago,Collision - building,Released
2016-02044,Common Yellowthroat,09.05.2016,5/9/16  6 AM,A,F,"300 S Riverside, W Side",Chicago,Collision - building,Released
2016-02045,Common Yellowthroat,09.05.2016,5/9/16  6:40 AM,A,M,"303 Wacker, E Side",Chicago,Collision - building,Released
2016-02046,Ovenbird,09.05.2016,5/9/16  6:20 AM,A,UNK,"AON, N Side",Chicago,Collision - building,Released
2016-02047,Northern Waterthrush,09.05.2016,5/9/16  4:40 AM,A,UNK,"311 S Wacker, S Side",Chicago,Collision - building,Released
2016-02048,Nashville Warbler,09.05.2016,5/9/16  8:40 AM,A,M,"333 W Wacker, N Side",Chicago,Collision - building,Released
2016-02049,Northern Waterthrush,09.05.2016,5/9/16  6:15 AM,A,UNK,"333 W Wacker, E Side",Chicago,Collision - building,Released
2016-02050,Common Yellowthroat,09.05.2016,5/9/16  6:05 AM,A,M,"Sears, N Side",Chicago,Collision - building,Released
2016-02051,Wood Thrush,09.05.2016,5/9/16  5:15 AM,A,UNK,"1 S Wacker, W Side",Chicago,Collision - building,Released
2016-02057,Mallard,09.05.2016,5/9/16 AM,F,UNK,,Chicago,Fell from nest,Died within 24 hours
2016-02058,Mallard,09.05.2016,5/9/16 AM,F,UNK,,Chicago,Fell from nest,Died within 24 hours
2016-02059,Mallard,09.05.2016,5/9/16 AM,F,UNK,,Chicago,Fell from nest,Released
2016-02060,Mallard,09.05.2016,5/9/16 AM,F,UNK,,Chicago,Fell from nest,Released
2016-02061,Sora,09.05.2016,5/8/16 8:30 AM,A,UNK,5401 N Broadway,Chicago,Collision - building,Euthanized after 24 hours
2016-02081,American Robin,10.05.2016,5/9/16 8:30 PM,A,UNK,"10439 Forest Lane, E Side",Chicago Ridge,Collision - building,Euthanized within 24 hour of admit
2016-02095,Mallard,10.05.2016,5/9/16 9 PM,F,UNK,1352 Evergreen,Des Plaines,Fell from nest,Released
2016-02096,Mallard,10.05.2016,5/9/16 9 PM,F,UNK,1352 Evergreen,Des Plaines,Fell from nest,Released
2016-02097,Mallard,10.05.2016,5/9/16 9 PM,F,UNK,1352 Evergreen,Des Plaines,Fell from nest,Released
2016-02105,American Woodcock,10.05.2016,5/10/16 AM,A,UNK,,Chicago,Collision - building,Released
2016-02106,Ovenbird,10.05.2016,5/10/16 5:40 AM,A,UNK,"300 N LaSalle, S Side",Chicago,Collision - building,Released
2016-02107, White-throated Sparrow,10.05.2016,5/10/16 6:50 AM,A,UNK,"10 S Riverside, E Side",Chicago,Collision - building,Released
2016-02114,Winter Wren,10.05.2016,5/10/16 5:34 AM,A,UNK,west side of 321 N Clark,Chicago,Collision - building,Released
2016-02116,Virginia Rail,10.05.2016,5/10/16 2:30 PM,A,UNK,"Hyatt Regency East, S Side",Chicago,Collision - building,Released
2016-02117,Yellow-bellied Sapsucker,10.05.2016,5/10/16 2:25 PM,A,UNK,Canal & Adams in front of CVS,Chicago,Collision - building,Released
2016-02122,Mallard,11.05.2016,5/10/16,F,UNK,Peggy Notebaert,Chicago,Fell from nest,Released
2016-02123,Mallard,11.05.2016,5/10/16,F,UNK,Peggy Notebaert,Chicago,Fell from nest,Released
2016-02124,Mallard,11.05.2016,5/10/16 8 PM,F,UNK,Belmont/Lake Shore Drive,Chicago,Fell from nest,Released
2016-02125,Mallard,11.05.2016,5/10/16 8 PM,F,UNK,Belmont/Lake Shore Drive,Chicago,Fell from nest,Released
2016-02126,Mallard,11.05.2016,5/10/16 5:15 PM,F,UNK,159th and HArlem,Oak Forest,Fell from nest,Released
2016-02127,Mallard,11.05.2016,5/10/16 5:15 PM,F,UNK,159th and HArlem,Oak Forest,Fell from nest,Released
2016-02128,Mallard,11.05.2016,5/10/16 5:15 PM,F,UNK,159th and HArlem,Oak Forest,Fell from nest,Released
2016-02129,Mallard,11.05.2016,5/10/16 5:15 PM,F,UNK,159th and HArlem,Oak Forest,Fell from nest,Released
2016-02130,Mallard,11.05.2016,5/10/16 5:15 PM,F,UNK,159th and HArlem,Oak Forest,Fell from nest,Released
2016-02131,Mallard,11.05.2016,5/10/16 5:15 PM,F,UNK,159th and HArlem,Oak Forest,Fell from nest,Released
2016-02132,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
2016-02133,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
